CHROM POS prob log10.PO. qval alpha fst
Sc0000565 40857 0.88138 0.87099 0.025742 1.1286 0.32334
Sc0000574 25590 0.93759 1.1767 0.012753 1.4814 0.39456
Sc0000700 78097 1 1000 0 2.1195 0.52704
Sc0000726 42244 1 1000 0 1.84 0.46646
Sc0000765 80645 0.85737 0.77896 0.031836 1.0658 0.31173
Sc0000785 70526 0.96299 1.4153 0.0081274 1.1687 0.32729
Sc0000844 48908 0.92819 1.1114 0.015056 1.1626 0.32762
Sc0000924 31417 0.998 2.698 0.00032673 1.764 0.45084
Sc0001406 14234 1 1000 0 1.6992 0.43608
xfSc0000002 778689 0.96699 1.4668 0.0071881 1.3899 0.37334
xfSc0000006 464362 0.83577 0.70663 0.037447 1.0228 0.30417
xfSc0000019 77981 1 1000 0 1.9713 0.49457
xfSc0000021 150453 0.92258 1.0762 0.01591 1.2135 0.33896
xfSc0000026 150415 0.88298 0.87768 0.023432 1.2283 0.34404
xfSc0000039 72861 0.77736 0.54301 0.049314 1.0467 0.31236
xpSc0004707 132239 0.9972 2.5515 0.00046884 1.4476 0.38313
xpSc0004727 32156 0.96899 1.4949 0.0067505 1.4025 0.37606
xpSc0004738 64290 0.9988 2.9202 0.00022862 1.6221 0.41994
xpSc0004738 64293 1 1000 0 2.3906 0.58512
